,State,Month,total_doses_day,total_samples_day,Projected Total Population,testing_rate,vaccination_rate,PHC,CHC,SDH,DH,Total,num_beds,total_hosp,hosp_per_capita,Hospital_Category,HDI,HDI_Category
80,Haryana,1,95245.0,618174.0,28204692,2.191741714463679,0.33769204074272463,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
81,Haryana,2,184936.0,497654.0,28204692,1.7644369241826858,0.6556923223979896,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
82,Haryana,3,1282683.0,586202.0,28204692,2.0783846886184754,4.54776460597407,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
83,Haryana,4,2241522.0,1138264.0,28204692,4.035725687059443,7.9473372728197145,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
84,Haryana,5,2130824.0,1655856.0,28204692,5.8708529772280444,7.554856475653058,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
85,Haryana,6,2967477.0,988861.0,28204692,3.5060159494030283,10.521217533593347,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
86,Haryana,7,2967350.0,834914.0,28204692,2.9601954171313056,10.520767253902294,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
87,Haryana,8,1186353.0,261474.0,28204692,0.9270585191995714,4.206225687555816,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
88,Himachal Pradesh,1,22798.0,159379.0,7451955,2.1387541926917164,0.3059331410348023,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
89,Himachal Pradesh,2,100618.0,163309.0,7451955,2.1914920312857498,1.350222860980776,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
90,Himachal Pradesh,3,444359.0,165803.0,7451955,2.2249597588820653,5.962985552113506,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
